ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDER DATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESS,POSTALCODE,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10124,21,100,6,2856,21-05-2003,Shipped,2,5,2003,Vintage Cars,170,S18_1749,Signal Gift Stores,7025551838,8489 Strong St.  Las Vegas NV USA,83030,NA,King,Sue,Small
10126,38,100,11,7329.06,28-05-2003,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67  Madrid  Spain",28023,EMEA,Sommer,Mart¡n,Large
10127,46,100,2,11279.2,03-06-2003,Shipped,2,6,2003,Classic Cars,207,S12_1108,Muscle Machine Inc,2125557413,4092 Furth Circle Suite 400 NYC NY USA,10022,NA,Young,Jeff,Large
10128,41,100,2,5544.02,06-06-2003,Shipped,2,6,2003,Vintage Cars,136,S18_3140,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10129,33,100,2,4398.24,12-06-2003,Shipped,2,6,2003,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George  London  UK,WX3 6FW,EMEA,Brown,Ann,Medium
10131,21,100,4,2781.66,16-06-2003,Shipped,2,6,2003,Planes,157,S18_1662,Gift Ideas Corp.,2035554407,2440 Pompton St.  Glendale CT USA,97561,NA,Lewis,Dan,Small
10130,40,96.34,2,3853.6,16-06-2003,Shipped,2,6,2003,Ships,86,S18_3029,Auto-Moto Classics Inc.,6175558428,16780 Pompton St.  Brickhaven MA USA,58339,NA,Taylor,Leslie,Medium
10133,49,69.27,3,3394.23,27-06-2003,Shipped,2,6,2003,Planes,84,S18_2581,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10134,41,94.74,2,3884.34,01-07-2003,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia  Paris  France,75508,EMEA,Da Cunha,Daniel,Medium
10135,42,100,7,8008.56,02-07-2003,Shipped,3,7,2003,Classic Cars,194,S12_1099,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.  San Rafael CA USA,97562,NA,Nelson,Valarie,Large
10136,25,100,2,3644.75,04-07-2003,Shipped,3,7,2003,Classic Cars,141,S18_1129,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine  Toulouse  France,31000,EMEA,Roulet,Annette,Medium
10137,44,99.55,2,4380.2,10-07-2003,Shipped,3,7,2003,Classic Cars,124,S18_1589,Reims Collectables,26.47.1555,59 rue de l'Abbaye  Reims  France,51100,EMEA,Henriot,Paul,Medium
10139,31,100,7,3184.94,16-07-2003,Shipped,3,7,2003,Vintage Cars,102,S18_1342,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy Level 6 Chatswood NSW Australia",2067,APAC,Huxley,Adrian,Medium
10140,37,100,11,7374.1,24-07-2003,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle  Burlingame CA USA,94217,NA,Hirano,Juri,Large
10141,21,100,5,2140.11,01-08-2003,Shipped,3,8,2003,Trucks and Buses,118,S12_4473,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy  Espoo  Finland",FIN-02271,EMEA,Suominen,Kalle,Small
10142,33,100,12,8023.29,08-08-2003,Shipped,3,8,2003,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.  San Rafael CA USA,97562,NA,Nelson,Valarie,Large
10143,49,100,15,5597.76,10-08-2003,Shipped,3,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.  New Bedford MA USA,50553,NA,Tam,Wing C,Medium
10144,20,81.86,1,1637.2,13-08-2003,Shipped,3,8,2003,Vintage Cars,68,S32_4289,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255  Charleroi  Belgium",B-6000,EMEA,Cartrain,Pascale,Small
10145,45,83.26,6,3746.7,25-08-2003,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.  Pasadena CA USA,90003,NA,Young,Julie,Medium
10146,47,67.14,2,3155.58,03-09-2003,Shipped,3,9,2003,Motorcycles,62,S18_3782,Gift Ideas Corp.,2035554407,2440 Pompton St.  Glendale CT USA,97561,NA,Lewis,Dan,Medium
10147,48,100,7,9245.76,05-09-2003,Shipped,3,9,2003,Classic Cars,194,S12_1099,Collectables For Less Inc.,6175558555,7825 Douglas Av.  Brickhaven MA USA,58339,NA,Nelson,Allen,Large
10148,23,100,13,2702.04,11-09-2003,Shipped,3,9,2003,Classic Cars,141,S18_1129,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street Level 15 North Sydney NSW Australia,2060,APAC,O'Hara,Anna,Small
10149,50,100,4,5907.5,12-09-2003,Shipped,3,9,2003,Vintage Cars,102,S18_1342,Signal Collectibles Ltd.,4155554312,2793 Furth Circle  Brisbane CA USA,94217,NA,Taylor,Sue,Medium
10150,45,100,8,10993.5,19-09-2003,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  Singapore  Singapore",79903,Japan,Natividad,Eric,Large
10151,24,100,3,3327.6,21-09-2003,Shipped,3,9,2003,Trucks and Buses,118,S12_4473,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38  Oulu  Finland,90110,EMEA,Koskitalo,Pirkko,Medium
10152,35,100,1,4524.1,25-09-2003,Shipped,3,9,2003,Classic Cars,143,S18_4027,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End  South Brisbane Queensland Australia,4101,APAC,Calaghan,Tony,Medium
10153,20,100,11,4904,28-09-2003,Shipped,3,9,2003,Classic Cars,207,S12_1108,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10154,31,91.17,2,2826.27,02-10-2003,Shipped,4,10,2003,Vintage Cars,88,S24_3151,Boards & Toys Co.,3105552373,4097 Douglas Av.  Glendale CA USA,92561,NA,Young,Leslie,Small
10300,33,100,5,5521.89,04-10-2003,Shipped,4,10,2003,Classic Cars,194,S12_1099,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34  Frankfurt  Germany,60528,EMEA,Keitel,Roland,Medium
10301,37,100,8,5917.78,05-10-2003,Shipped,4,10,2003,Classic Cars,141,S18_1129,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum  Oslo  Norway",N 0106,EMEA,Klaeboe,Jan,Medium
10155,32,100,13,4526.08,06-10-2003,Shipped,4,10,2003,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45  Helsinki  Finland,21240,EMEA,Karttunen,Matti,Medium
10302,43,100,1,7310,06-10-2003,Shipped,4,10,2003,Vintage Cars,170,S18_1749,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery  Liverpool  UK,WX1 6LT,EMEA,Devon,Elizabeth,Large
10156,20,41.02,1,820.4,08-10-2003,Shipped,4,10,2003,Vintage Cars,43,S50_1341,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Small
10159,49,100,14,5205.27,10-10-2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.  San Francisco CA USA,25712,NA,Brown,Julie,Medium
10158,22,67.03,1,1474.66,10-10-2003,Shipped,4,10,2003,Motorcycles,76,S24_2000,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78  Stavern  Norway,4110,EMEA,Bergulfsen,Jonas,Small
10160,46,100,6,5294.14,11-10-2003,Shipped,4,10,2003,Classic Cars,117,S12_3380,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.  Los Angeles CA USA,25712,NA,Chandler,Michael,Medium
10161,28,100,12,3764.88,17-10-2003,Shipped,4,10,2003,Classic Cars,141,S18_1129,Heintze Collectables,86 21 3555,Smagsloget 45  Aaarhus  Denmark,8200,EMEA,Ibsen,Palle,Medium
10162,48,91.44,2,4389.12,18-10-2003,Shipped,4,10,2003,Vintage Cars,102,S18_1342,Corporate Gift Ideas Co.,6505551386,7734 Strong St.  San Francisco CA USA,25712,NA,Brown,Julie,Medium
10163,21,100,1,4860.24,20-10-2003,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St. Suite 750 NYC NY USA,10022,NA,Hernandez,Maria,Medium
10166,43,100,2,6930.74,21-10-2003,Shipped,4,10,2003,Vintage Cars,136,S18_3140,FunGiftIdeas.com,5085552555,1785 First Street  New Bedford MA USA,50553,NA,Benitez,Violeta,Medium
10164,21,100,2,3536.82,21-10-2003,Resolved,4,10,2003,Classic Cars,147,S10_4962,Mini Auto Werke,7675-3555,Kirchgasse 6  Graz  Austria,8010,EMEA,Mendel,Roland,Medium
10165,44,100,3,8594.52,22-10-2003,Shipped,4,10,2003,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  Singapore  Singapore",79903,Japan,Natividad,Eric,Large
10167,44,100,9,5924.16,23-10-2003,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24  Boras  Sweden,S-844 67,EMEA,Larsson,Maria,Medium
10168,36,96.66,1,3479.76,28-10-2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle  Burlingame CA USA,94217,NA,Hirano,Juri,Medium
10169,30,100,2,5019.9,04-11-2003,Shipped,4,11,2003,Classic Cars,194,S12_1099,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street Level 15 North Sydney NSW Australia,2060,APAC,O'Hara,Anna,Medium
10170,47,100,4,5464.69,04-11-2003,Shipped,4,11,2003,Classic Cars,117,S12_3380,Mini Auto Werke,7675-3555,Kirchgasse 6  Graz  Austria,8010,EMEA,Mendel,Roland,Medium
10171,35,100,2,4508,05-11-2003,Shipped,4,11,2003,Classic Cars,141,S18_1129,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent  Montreal Quebec Canada,H1J 1C3,NA,Fresnisre,Jean,Medium
10172,42,100,6,4965.24,05-11-2003,Shipped,4,11,2003,Classic Cars,124,S18_1589,Gift Depot Inc.,2035552570,25593 South Bay Ln.  Bridgewater CT USA,97562,NA,King,Julie,Medium
10173,43,100,6,5036.16,05-11-2003,Shipped,4,11,2003,Vintage Cars,102,S18_1342,Rovelli Gifts,035-640555,Via Ludovico il Moro 22  Bergamo  Italy,24100,EMEA,Rovelli,Giovanni,Medium
10175,33,100,9,5362.83,06-11-2003,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George  London  UK,WX3 6FW,EMEA,Brown,Ann,Medium
10174,34,100,4,8014.82,06-11-2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End  South Brisbane Queensland Australia,4101,APAC,Calaghan,Tony,Large
10176,33,100,2,7474.5,06-11-2003,Shipped,4,11,2003,Classic Cars,207,S12_1108,L'ordine Souveniers,0522-556555,Strada Provinciale 124  Reggio Emilia  Italy,42100,EMEA,Moroni,Maurizio,Large
10177,23,100,9,3675.63,07-11-2003,Shipped,4,11,2003,Vintage Cars,136,S18_3140,CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay  Madrid  Spain",28023,EMEA,Fernandez,Jesus,Medium
10178,24,100,12,3492.48,08-11-2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine  Toulouse  France,31000,EMEA,Roulet,Annette,Medium
10180,29,86.13,9,2497.77,11-11-2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai  Lille  France",59000,EMEA,Rance,Martine,Small
10181,27,100,14,5411.07,12-11-2003,Shipped,4,11,2003,Classic Cars,194,S12_1099,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum  Bergen  Norway",N 5804,EMEA,Oeztan,Veysel,Medium
10182,25,87.33,3,2183.25,12-11-2003,Shipped,4,11,2003,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.  San Rafael CA USA,97562,NA,Nelson,Valarie,Small
10183,23,100,8,5372.57,13-11-2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street  Philadelphia PA USA,71270,NA,Cervantes,Francisca,Medium
10186,26,100,9,3854.24,14-11-2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.  London  UK,WA1 1DP,EMEA,Hardy,Thomas,Medium
10185,21,100,13,3883.74,14-11-2003,Shipped,4,11,2003,Classic Cars,207,S12_1108,Mini Creations Ltd.,5085559555,4575 Hillside Dr.  New Bedford MA USA,50553,NA,Tam,Wing C,Medium
10184,37,100,6,4516.22,14-11-2003,Shipped,4,11,2003,Trucks and Buses,118,S12_4473,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33  Sevilla  Spain",41101,EMEA,Roel,Jose Pedro,Medium
10188,48,100,1,5512.32,18-11-2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum  Bergen  Norway",N 5804,EMEA,Oeztan,Veysel,Medium
10189,28,100,1,4512.48,18-11-2003,Shipped,4,11,2003,Motorcycles,150,S12_2823,Toys4GrownUps.com,6265557265,78934 Hillside Dr.  Pasadena CA USA,90003,NA,Young,Julie,Medium
10190,42,76.19,3,3199.98,19-11-2003,Shipped,4,11,2003,Motorcycles,69,S24_2360,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10191,21,100,3,3840.9,20-11-2003,Shipped,4,11,2003,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369  Koln  Germany,50739,EMEA,Pfalzheim,Henriette,Medium
10192,27,100,16,3544.56,20-11-2003,Shipped,4,11,2003,Classic Cars,115,S12_4675,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue  Nashua NH USA,62005,NA,Young,Valarie,Medium
10193,28,100,7,3106.88,21-11-2003,Shipped,4,11,2003,Vintage Cars,102,S18_1342,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street  Glen Waverly Victoria Australia,3150,APAC,Connery,Sean,Medium
10194,42,100,11,7290.36,25-11-2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce  Lyon  France",69004,EMEA,Saveley,Mary,Large
10195,49,100,6,6445.46,25-11-2003,Shipped,4,11,2003,Trucks and Buses,118,S12_4473,Mini Classics,9145554562,3758 North Pendale Street  White Plains NY USA,24067,NA,Frick,Steve,Medium
10197,45,100,6,5324.4,26-11-2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23  Barcelona  Spain",8022,EMEA,Saavedra,Eduardo,Medium
10196,47,100,5,8887.7,26-11-2003,Shipped,4,11,2003,Classic Cars,207,S12_1108,Super Scale Inc.,2035559545,567 North Pendale Street  New Haven CT USA,97823,NA,Murphy,Leslie,Large
10198,42,100,4,7483.98,27-11-2003,Shipped,4,11,2003,Planes,157,S18_1662,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03  Makati City  Philippines,1227 MM,Japan,Cruz,Arnold,Large
10201,22,98.57,2,2168.54,01-12-2003,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street  San Francisco CA USA,25712,NA,Murphy,Julie,Small
10199,29,38.4,1,1113.6,01-12-2003,Shipped,4,12,2003,Vintage Cars,43,S50_1341,West Coast Collectables Co.,3105553722,3675 Furth Circle  Burbank CA USA,94019,NA,Thompson,Steve,Small
10203,20,100,8,3930.4,02-12-2003,Shipped,4,12,2003,Classic Cars,194,S12_1099,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10204,42,100,17,6182.4,02-12-2003,Shipped,4,12,2003,Classic Cars,141,S18_1129,Muscle Machine Inc,2125557413,4092 Furth Circle Suite 400 NYC NY USA,10022,NA,Young,Jeff,Medium
10205,36,100,2,3735.72,03-12-2003,Shipped,4,12,2003,Vintage Cars,102,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10206,47,100,6,9064.89,05-12-2003,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.  Vancouver BC Canada,V3F 2K1,NA,Tannamuri,Yoshi,Large
10207,31,100,15,4076.19,09-12-2003,Shipped,4,12,2003,Classic Cars,147,S10_4962,Diecast Collectables,6175552555,6251 Ingle Ln.  Boston MA USA,51003,NA,Franco,Valarie,Medium
10208,46,100,13,8602.92,02-01-2004,Shipped,1,1,2004,Classic Cars,207,S12_1108,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce  Lyon  France",69004,EMEA,Saveley,Mary,Large
10209,39,100,8,5197.92,09-01-2004,Shipped,1,1,2004,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.  Los Angeles CA USA,25712,NA,Chandler,Michael,Medium
10210,23,100,2,3009.09,12-01-2004,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  Osaka Osaka Japan",530-0003,Japan,Kentary,Mory,Medium
10211,41,100,14,4708.44,15-01-2004,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston  Paris  France",75016,EMEA,Perrier,Dominique,Medium
10212,39,100,16,4946.76,16-01-2004,Shipped,1,1,2004,Classic Cars,117,S12_3380,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10213,38,94.79,1,3602.02,22-01-2004,Shipped,1,1,2004,Vintage Cars,92,S18_4409,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.  London  UK,WA1 1DP,EMEA,Hardy,Thomas,Medium
10214,30,100,7,5967,26-01-2004,Shipped,1,1,2004,Vintage Cars,170,S18_1749,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67  Madrid  Spain",28023,EMEA,Sommer,Mart¡n,Medium
10215,35,100,3,6075.3,29-01-2004,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle  Burbank CA USA,94019,NA,Thompson,Steve,Medium
10216,43,100,1,5759.42,02-02-2004,Shipped,1,2,2004,Trucks and Buses,136,S12_1666,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe  Versailles  France",78000,EMEA,Tonini,Daniel,Medium
10217,48,100,4,7020.48,04-02-2004,Shipped,1,2,2004,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown 2nd Floor Singapore  Singapore,69045,APAC,Victorino,Wendy,Large
10219,48,100,2,4891.68,10-02-2004,Shipped,1,2,2004,Trucks and Buses,118,S12_4473,Signal Collectibles Ltd.,4155554312,2793 Furth Circle  Brisbane CA USA,94217,NA,Taylor,Sue,Medium
10220,32,100,2,7181.44,12-02-2004,Shipped,1,2,2004,Classic Cars,207,S12_1108,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane Floor No. 4 Dublin  Ireland,2,EMEA,Cassidy,Dean,Large
10221,33,100,3,4417.38,18-02-2004,Shipped,1,2,2004,Vintage Cars,136,S18_3140,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532  Bruxelles  Belgium,B-1180,EMEA,Dewey,Catherine,Medium
10222,49,100,12,5997.6,19-02-2004,Shipped,1,2,2004,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle  San Diego CA USA,91217,NA,Thompson,Valarie,Medium
10223,37,100,1,3965.66,20-02-2004,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road Level 3 Melbourne Victoria Australia,3004,APAC,Ferguson,Peter,Medium
10224,43,100,6,6087.94,21-02-2004,Shipped,1,2,2004,Motorcycles,150,S12_2823,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai  Lille  France",59000,EMEA,Rance,Martine,Medium
10225,27,100,9,4517.91,22-02-2004,Shipped,1,2,2004,Classic Cars,194,S12_1099,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237  Gensve  Switzerland,1203,EMEA,Holz,Michael,Medium
10226,38,100,4,4161.38,26-02-2004,Shipped,1,2,2004,Classic Cars,124,S18_1589,Collectable Mini Designs Co.,7605558146,361 Furth Circle  San Diego CA USA,91217,NA,Thompson,Valarie,Medium
